geneSymbol,cluster.name,comb.ES,comb.p,comb.padj,comb.ES.rank,comb.positive.freq,sig.N,sig.freq,total.N,ES.max,ES.max.p.adj,TF,kinase,epigenetic regulation,secretory,membrane,enzyme,drug target (FDA),drug target (potential)
RPS3,CD4.c01(Tn),0.57 ,2.89E-60,9.16E-59,17,67.95%,16,0.80 ,20,1.28 ,7.36E-15,,,,,,TRUE,,
RPL10,CD4.c01(Tn),0.57 ,4.28E-45,6.07E-44,18,66.35%,18,0.90 ,20,1.63 ,2.12E-22,,,,,,,,
RPL19,CD4.c01(Tn),0.57 ,2.26E-42,2.81E-41,19,67.85%,16,0.80 ,20,1.60 ,7.80E-22,,,,,,,,
RPL39,CD4.c01(Tn),0.57 ,1.02E-27,6.11E-27,20,67.40%,17,0.85 ,20,1.33 ,6.66E-16,,,,,,,,
RPS15A,CD4.c01(Tn),0.55 ,1.20E-35,1.06E-34,21,67.56%,18,0.90 ,20,1.33 ,5.16E-16,,,,,TRUE,,,
RPS23,CD4.c01(Tn),0.55 ,6.06E-36,5.41E-35,22,67.68%,18,0.90 ,20,1.34 ,3.16E-16,,,,,,,,
RPS27,CD4.c01(Tn),0.54 ,6.96E-58,1.96E-56,23,65.53%,18,0.90 ,20,0.99 ,7.36E-19,,,,,,,,
RPL3,CD4.c01(Tn),0.53 ,4.22E-60,1.32E-58,24,65.60%,18,0.90 ,20,0.98 ,3.68E-09,,,,,,,TRUE,
RPL35A,CD4.c01(Tn),0.51 ,2.44E-34,2.03E-33,25,66.58%,18,0.90 ,20,1.24 ,3.45E-14,,,,,,,,
RPS25,CD4.c01(Tn),0.51 ,1.03E-43,1.36E-42,26,65.73%,17,0.85 ,20,0.98 ,1.16E-18,,,,,,,,
EEF1A1,CD4.c01(Tn),0.50 ,1.98E-31,1.42E-30,27,62.84%,16,0.80 ,20,1.65 ,7.68E-23,,,,,,,,
RPL37,CD4.c01(Tn),0.48 ,2.08E-28,1.28E-27,28,65.57%,15,0.75 ,20,1.21 ,1.57E-27,,,,,,,,
RPS4X,CD4.c01(Tn),0.48 ,2.70E-41,3.17E-40,29,64.28%,18,0.90 ,20,1.32 ,8.06E-16,,,,,,,,
SELL,CD4.c01(Tn),0.47 ,1.56E-27,9.22E-27,30,51.46%,16,0.80 ,20,1.43 ,4.36E-18,,,,,TRUE,,,
RPL9,CD4.c01(Tn),0.47 ,1.51E-32,1.15E-31,31,62.72%,17,0.85 ,20,1.33 ,4.68E-16,,,,,TRUE,,,
LEF1,CD4.c01(Tn),0.47 ,9.93E-26,5.32E-25,32,41.67%,16,0.80 ,20,1.57 ,4.57E-21,TRUE,,,,,,,
TXK,CD4.c01(Tn),0.47 ,4.48E-20,1.76E-19,33,23.36%,14,0.70 ,20,1.10 ,1.75E-11,TRUE,TRUE,,,,TRUE,,
RPL18A,CD4.c01(Tn),0.46 ,8.82E-30,5.85E-29,34,62.41%,17,0.85 ,20,1.33 ,5.37E-16,,,,,,,,
RPL22,CD4.c01(Tn),0.46 ,3.23E-26,1.77E-25,35,64.82%,16,0.80 ,20,1.37 ,7.92E-17,,,,,,,,
RPS28,CD4.c01(Tn),0.45 ,1.33E-22,6.05E-22,36,62.22%,15,0.75 ,20,1.05 ,5.50E-21,,,,,,,,
EEF1B2,CD4.c01(Tn),0.45 ,1.51E-42,1.90E-41,37,65.87%,16,0.80 ,20,1.10 ,2.43E-11,,,,,,,,
PLAC8,CD4.c01(Tn),0.45 ,2.50E-33,1.97E-32,38,29.50%,19,0.95 ,20,0.66 ,5.83E-02,,,,,,,,
RPL29,CD4.c01(Tn),0.45 ,9.06E-27,5.13E-26,39,65.19%,16,0.80 ,20,1.67 ,3.31E-23,,,,,,,,
RPS21,CD4.c01(Tn),0.44 ,8.32E-34,6.74E-33,40,65.38%,17,0.85 ,20,1.00 ,2.28E-19,,,,,,,,
RPL21,CD4.c01(Tn),0.44 ,6.33E-27,3.61E-26,41,60.77%,15,0.75 ,20,0.80 ,1.38E-12,,,,,,,,
RPS5,CD4.c01(Tn),0.44 ,4.87E-31,3.44E-30,42,65.67%,18,0.90 ,20,1.50 ,1.25E-19,,,,,,,,
RPL5,CD4.c01(Tn),0.44 ,2.24E-29,1.46E-28,43,65.03%,16,0.80 ,20,1.46 ,1.17E-18,,,,,,,,
RPL18,CD4.c01(Tn),0.44 ,1.17E-28,7.36E-28,44,63.60%,16,0.80 ,20,1.34 ,3.16E-16,,,,,,,,
RPL36,CD4.c01(Tn),0.43 ,4.16E-36,3.74E-35,45,63.48%,15,0.75 ,20,0.95 ,2.34E-17,,,,,,,,
RPL13A,CD4.c01(Tn),0.43 ,2.44E-44,3.31E-43,46,61.30%,18,0.90 ,20,0.93 ,9.79E-17,,,,,,,,
RPL12,CD4.c01(Tn),0.42 ,4.52E-28,2.74E-27,47,61.87%,16,0.80 ,20,1.30 ,2.33E-15,,,,,,,,
RPS29,CD4.c01(Tn),0.42 ,2.90E-42,3.59E-41,48,59.43%,16,0.80 ,20,0.84 ,2.44E-70,,,,,,,,
RPL14,CD4.c01(Tn),0.41 ,2.20E-26,1.22E-25,49,62.96%,15,0.75 ,20,1.16 ,1.83E-12,,,,,,,,
TPT1,CD4.c01(Tn),0.41 ,3.77E-35,3.26E-34,50,61.92%,18,0.90 ,20,0.99 ,2.67E-09,,,,,,,,
RPS10,CD4.c01(Tn),0.40 ,2.24E-29,1.46E-28,51,62.19%,16,0.80 ,20,1.77 ,1.58E-25,,,,,TRUE,,,
RPL31,CD4.c01(Tn),0.39 ,3.57E-28,2.17E-27,52,59.82%,16,0.80 ,20,0.74 ,5.44E-150,,,,,,,,
RPS15,CD4.c01(Tn),0.39 ,1.01E-28,6.38E-28,53,60.16%,15,0.75 ,20,1.17 ,1.15E-12,,,,,,,,
RPL10A,CD4.c01(Tn),0.39 ,7.91E-34,6.42E-33,54,62.04%,18,0.90 ,20,1.42 ,6.20E-18,,,,,,,,
RPL38,CD4.c01(Tn),0.38 ,1.88E-37,1.81E-36,55,61.20%,16,0.80 ,20,0.77 ,1.03E-11,,,,,,,,
KLF2,CD4.c01(Tn),0.37 ,6.65E-26,3.61E-25,56,45.02%,16,0.80 ,20,1.12 ,1.50E-23,TRUE,,TRUE,,,,,
ACTN1,CD4.c01(Tn),0.37 ,3.62E-18,1.27E-17,57,18.45%,11,0.55 ,20,1.07 ,8.47E-11,,,,,,,TRUE,
MALAT1,CD4.c01(Tn),0.37 ,1.91E-34,1.59E-33,58,54.14%,15,0.75 ,20,0.63 ,1.21E-254,,,,,,,,
GIMAP7,CD4.c01(Tn),0.36 ,2.51E-36,2.27E-35,59,53.20%,15,0.75 ,20,0.83 ,2.43E-13,,,,,,,,
MAL,CD4.c01(Tn),0.36 ,9.22E-19,3.35E-18,60,35.16%,13,0.65 ,20,1.11 ,1.44E-11,,,,,TRUE,,,
RPL23A,CD4.c01(Tn),0.36 ,1.76E-32,1.33E-31,61,58.15%,15,0.75 ,20,0.79 ,3.83E-12,,,,,,,,
RPS20,CD4.c01(Tn),0.36 ,1.24E-37,1.21E-36,62,60.07%,18,0.90 ,20,0.61 ,1.06E-04,,,,,,,,
RPL7,CD4.c01(Tn),0.35 ,6.29E-21,2.61E-20,63,56.66%,13,0.65 ,20,1.24 ,3.66E-14,,,,,,,,
LINC00861,CD4.c01(Tn),0.34 ,2.43E-24,1.21E-23,64,36.61%,14,0.70 ,20,0.64 ,2.86E-57,,,,,,,,
SCML1,CD4.c01(Tn),0.34 ,1.79E-26,9.96E-26,65,13.35%,12,0.60 ,20,1.42 ,6.60E-18,TRUE,,,,,,,
FHIT,CD4.c01(Tn),0.34 ,6.37E-21,2.63E-20,66,8.73%,11,0.55 ,20,0.97 ,4.46E-09,,,,,,TRUE,,TRUE
RPL8,CD4.c01(Tn),0.34 ,6.98E-26,3.78E-25,67,60.09%,14,0.70 ,20,1.52 ,4.49E-20,,,,,,,,
RPS16,CD4.c01(Tn),0.33 ,1.39E-25,7.41E-25,68,59.35%,14,0.70 ,20,0.86 ,1.74E-14,,,,,,,,
RPL26,CD4.c01(Tn),0.33 ,6.28E-30,4.20E-29,69,59.46%,15,0.75 ,20,0.70 ,9.75E-10,,,,,,,,
TSHZ2,CD4.c01(Tn),0.33 ,1.87E-18,6.67E-18,70,22.00%,12,0.60 ,20,1.36 ,1.43E-16,TRUE,,,,,,,
LDLRAP1,CD4.c01(Tn),0.33 ,1.73E-23,8.20E-23,71,27.14%,16,0.80 ,20,0.60 ,9.64E-02,,,,,,,,
NOG,CD4.c01(Tn),0.32 ,2.02E-13,5.51E-13,72,3.58%,9,0.45 ,20,0.67 ,8.77E-09,,,,TRUE,,,,
RPS7,CD4.c01(Tn),0.32 ,5.78E-21,2.40E-20,73,59.36%,15,0.75 ,20,1.09 ,1.14E-22,,,,,,,,
ABLIM1,CD4.c01(Tn),0.32 ,4.85E-29,3.10E-28,74,35.29%,15,0.75 ,20,1.00 ,1.46E-09,,,,,,,,
MYC,CD4.c01(Tn),0.32 ,9.29E-22,4.02E-21,75,18.45%,12,0.60 ,20,0.86 ,2.98E-07,TRUE,,,,TRUE,,,
RPS2,CD4.c01(Tn),0.32 ,2.09E-20,8.35E-20,76,59.15%,14,0.70 ,20,1.22 ,8.52E-14,,,,,,,,
AK5,CD4.c01(Tn),0.32 ,4.92E-29,3.15E-28,77,5.34%,14,0.70 ,20,0.68 ,1.20E-04,,TRUE,,,,TRUE,,
RPLP1,CD4.c01(Tn),0.32 ,1.43E-25,7.61E-25,78,55.02%,16,0.80 ,20,0.70 ,6.48E-05,,,,,,,,
RPL28,CD4.c01(Tn),0.31 ,1.99E-19,7.53E-19,79,58.26%,13,0.65 ,20,0.82 ,1.43E-06,,,,,,,,
RPS9,CD4.c01(Tn),0.31 ,4.49E-25,2.32E-24,80,60.12%,17,0.85 ,20,0.85 ,4.79E-14,,,,,,,,
PABPC1,CD4.c01(Tn),0.31 ,1.12E-18,4.04E-18,81,58.21%,14,0.70 ,20,1.58 ,2.38E-21,,,,,,,,
RPL6,CD4.c01(Tn),0.31 ,1.37E-23,6.55E-23,82,57.71%,15,0.75 ,20,0.98 ,3.86E-09,,,,,,,,
C1orf162,CD4.c01(Tn),0.31 ,1.14E-27,6.78E-27,83,20.84%,14,0.70 ,20,1.18 ,5.91E-13,,,,,TRUE,,,
RPL27A,CD4.c01(Tn),0.30 ,6.14E-22,2.68E-21,84,56.31%,14,0.70 ,20,0.62 ,2.52E-90,,,,,,,,
RPL4,CD4.c01(Tn),0.30 ,9.56E-21,3.91E-20,85,59.88%,12,0.60 ,20,0.94 ,1.51E-08,,,,,,,,
TXNIP,CD4.c01(Tn),0.30 ,3.93E-19,1.46E-18,86,53.08%,12,0.60 ,20,0.57 ,7.44E-47,,,,,,,,
FAU,CD4.c01(Tn),0.29 ,3.96E-22,1.75E-21,87,57.22%,14,0.70 ,20,0.75 ,1.47E-05,,,,,,,,
NOSIP,CD4.c01(Tn),0.29 ,1.81E-13,4.95E-13,88,44.36%,12,0.60 ,20,0.70 ,9.59E-03,,,,,,TRUE,,
TRABD2A,CD4.c01(Tn),0.28 ,4.21E-15,1.26E-14,89,19.77%,10,0.50 ,20,0.72 ,4.08E-05,,,,,TRUE,,,
RPL7A,CD4.c01(Tn),0.27 ,1.44E-19,5.47E-19,90,58.33%,15,0.75 ,20,0.83 ,1.05E-06,,,,,,,,
AIF1,CD4.c01(Tn),0.27 ,5.27E-14,1.49E-13,91,9.37%,10,0.50 ,20,0.94 ,1.47E-08,,,,,,,,
RASGRP2,CD4.c01(Tn),0.27 ,2.50E-28,1.54E-27,92,28.71%,15,0.75 ,20,0.68 ,3.69E-09,,,,,,,,
APBA2,CD4.c01(Tn),0.27 ,3.21E-21,1.35E-20,93,12.10%,10,0.50 ,20,0.76 ,9.81E-06,,,,,,,,
RPL37A,CD4.c01(Tn),0.27 ,3.04E-23,1.43E-22,94,57.42%,12,0.60 ,20,0.55 ,4.63E-06,,,,,,,,
S1PR1,CD4.c01(Tn),0.27 ,2.49E-12,6.39E-12,95,27.25%,11,0.55 ,20,1.07 ,4.73E-112,,,,,TRUE,,TRUE,
RPS19,CD4.c01(Tn),0.26 ,1.92E-19,7.24E-19,96,52.66%,14,0.70 ,20,0.60 ,4.45E-36,,,,,,,,
IL7R,CD4.c01(Tn),0.26 ,2.00E-18,7.12E-18,97,55.35%,10,0.50 ,20,0.54 ,2.51E-29,,,,,TRUE,,,
RPL36A,CD4.c01(Tn),0.26 ,9.74E-18,3.32E-17,98,51.75%,12,0.60 ,20,0.61 ,1.68E-07,,,,,,,,
TCEA3,CD4.c01(Tn),0.26 ,8.43E-29,5.34E-28,99,6.72%,11,0.55 ,20,0.56 ,2.33E-06,,,,,,,,
CD55,CD4.c01(Tn),0.26 ,7.34E-16,2.27E-15,100,34.98%,10,0.50 ,20,1.04 ,3.00E-10,,,,TRUE,TRUE,,,
GIMAP1,CD4.c01(Tn),0.26 ,4.40E-27,2.53E-26,101,31.58%,14,0.70 ,20,0.62 ,1.37E-07,,,,,TRUE,,,
GIMAP4,CD4.c01(Tn),0.25 ,9.70E-22,4.19E-21,102,45.38%,13,0.65 ,20,0.64 ,3.12E-08,,,,,,,,
EEF1G,CD4.c01(Tn),0.25 ,1.40E-13,3.87E-13,103,50.05%,9,0.45 ,20,1.16 ,1.22E-12,,,,,,,,
RPL27,CD4.c01(Tn),0.25 ,3.82E-24,1.88E-23,104,56.25%,11,0.55 ,20,0.61 ,2.63E-07,,,,,,,,
SLC40A1,CD4.c01(Tn),0.25 ,9.00E-22,3.91E-21,105,9.96%,12,0.60 ,20,0.68 ,1.22E-04,,,,,TRUE,,,TRUE
RPL41,CD4.c01(Tn),0.24 ,3.81E-09,8.22E-09,106,52.07%,4,0.20 ,20,0.79 ,1.18E-62,,,,,,,,
NACA,CD4.c01(Tn),0.24 ,5.84E-09,1.25E-08,107,59.34%,12,0.60 ,20,1.02 ,7.29E-10,,,,,,,,
RPL24,CD4.c01(Tn),0.24 ,3.80E-15,1.14E-14,108,56.11%,14,0.70 ,20,0.90 ,8.77E-08,,,,,,,,
CD40LG,CD4.c01(Tn),0.24 ,2.99E-13,8.07E-13,109,46.77%,10,0.50 ,20,0.51 ,4.73E-92,,,,TRUE,TRUE,,,
RPSA,CD4.c01(Tn),0.23 ,2.22E-11,5.41E-11,110,57.24%,11,0.55 ,20,0.93 ,2.86E-08,,,,,,,,
PASK,CD4.c01(Tn),0.23 ,3.79E-16,1.19E-15,111,22.53%,10,0.50 ,20,1.02 ,4.32E-20,,TRUE,,,,TRUE,,
LDHB,CD4.c01(Tn),0.23 ,2.28E-08,4.71E-08,112,58.32%,9,0.45 ,20,0.87 ,2.17E-07,,,,,,TRUE,TRUE,
IGF1R,CD4.c01(Tn),0.23 ,1.67E-12,4.34E-12,113,3.71%,7,0.35 ,20,0.47 ,2.80E-02,,TRUE,,,TRUE,TRUE,TRUE,
RPL35,CD4.c01(Tn),0.23 ,1.34E-25,7.14E-25,114,55.04%,12,0.60 ,20,0.50 ,1.08E-02,,,,,,,,
ITGA6,CD4.c01(Tn),0.23 ,4.18E-22,1.84E-21,115,15.02%,13,0.65 ,20,0.54 ,7.21E-06,,,,,TRUE,,,TRUE
BACH2,CD4.c01(Tn),0.23 ,2.37E-14,6.82E-14,116,14.92%,7,0.35 ,20,0.70 ,7.37E-05,TRUE,,,,,,,
PRKCA,CD4.c01(Tn),0.23 ,5.55E-17,1.82E-16,117,15.63%,9,0.45 ,20,0.47 ,1.95E-04,,TRUE,,,,TRUE,TRUE,
GIMAP5,CD4.c01(Tn),0.23 ,2.70E-16,8.52E-16,118,25.14%,11,0.55 ,20,0.45 ,4.71E-08,,,,,TRUE,,,
CAMK4,CD4.c01(Tn),0.23 ,9.20E-18,3.15E-17,119,42.14%,10,0.50 ,20,0.67 ,1.77E-04,,TRUE,,,TRUE,TRUE,,
SULT1B1,CD4.c01(Tn),0.22 ,1.44E-14,4.18E-14,120,3.93%,10,0.50 ,20,0.55 ,4.00E-03,,,,,,,,
ATM,CD4.c01(Tn),0.22 ,1.08E-17,3.69E-17,121,36.88%,8,0.40 ,20,0.69 ,9.36E-05,,TRUE,,,TRUE,TRUE,,TRUE
MDS2,CD4.c01(Tn),0.22 ,4.43E-12,1.12E-11,122,7.30%,6,0.30 ,20,0.51 ,1.02E-02,,,,,,,,
SATB1,CD4.c01(Tn),0.22 ,5.67E-06,9.99E-06,123,30.10%,7,0.35 ,20,1.06 ,1.26E-10,TRUE,,,,,,,
ANKRD55,CD4.c01(Tn),0.22 ,2.24E-12,5.78E-12,124,8.82%,9,0.45 ,20,0.50 ,8.66E-10,,,,,,,,
SERINC5,CD4.c01(Tn),0.22 ,2.22E-20,8.87E-20,125,28.17%,9,0.45 ,20,0.52 ,1.49E-10,,,,,TRUE,,,
BEX2,CD4.c01(Tn),0.21 ,7.03E-34,5.73E-33,126,14.30%,15,0.75 ,20,0.96 ,7.03E-09,,,,,,,,
RPL17,CD4.c01(Tn),0.21 ,3.97E-15,1.19E-14,127,54.38%,12,0.60 ,20,0.80 ,2.74E-06,,,,,,,,
C6orf48,CD4.c01(Tn),0.21 ,2.80E-24,1.39E-23,128,33.37%,11,0.55 ,20,0.41 ,1.15E-03,,,,,,,,
RPLP0,CD4.c01(Tn),0.21 ,1.44E-12,3.77E-12,129,54.21%,11,0.55 ,20,1.22 ,1.13E-13,,,,,,,,
UBA52,CD4.c01(Tn),0.21 ,6.60E-15,1.95E-14,130,55.43%,12,0.60 ,20,0.81 ,9.58E-13,,,,,,,,
RNF144A,CD4.c01(Tn),0.21 ,9.42E-19,3.42E-18,131,7.79%,7,0.35 ,20,0.43 ,4.43E-02,,,,,TRUE,TRUE,,
SNHG8,CD4.c01(Tn),0.20 ,2.11E-23,9.94E-23,132,45.51%,13,0.65 ,20,0.81 ,2.34E-06,,,,,,,,
SH3YL1,CD4.c01(Tn),0.20 ,1.64E-23,7.79E-23,133,17.10%,14,0.70 ,20,1.02 ,6.78E-10,,,,,,,,
TOMM7,CD4.c01(Tn),0.20 ,1.67E-19,6.33E-19,134,56.10%,11,0.55 ,20,0.44 ,2.11E-27,,,,,TRUE,,,
FOXP1,CD4.c01(Tn),0.20 ,2.45E-13,6.65E-13,135,46.17%,7,0.35 ,20,0.41 ,1.34E-03,TRUE,,,,,,,
NELL2,CD4.c01(Tn),0.20 ,7.43E-20,2.89E-19,136,17.88%,10,0.50 ,20,0.77 ,8.12E-06,,,,TRUE,TRUE,,,
TMEM204,CD4.c01(Tn),0.19 ,3.57E-21,1.50E-20,137,15.26%,9,0.45 ,20,0.33 ,6.62E-02,,,,,TRUE,,,
C1orf228,CD4.c01(Tn),0.19 ,1.90E-17,6.37E-17,138,11.99%,8,0.40 ,20,0.64 ,3.72E-04,,,,,,,,
PFDN5,CD4.c01(Tn),0.19 ,4.29E-19,1.59E-18,139,54.86%,13,0.65 ,20,0.52 ,7.15E-03,,,,,,,,
FBLN5,CD4.c01(Tn),0.19 ,1.82E-29,1.20E-28,140,9.52%,11,0.55 ,20,0.37 ,8.62E-04,,,,TRUE,,,,
EEF1D,CD4.c01(Tn),0.19 ,7.56E-18,2.60E-17,141,55.27%,13,0.65 ,20,0.64 ,3.40E-08,,,,,,,,
RPS11,CD4.c01(Tn),0.19 ,1.83E-19,6.92E-19,142,54.15%,10,0.50 ,20,0.62 ,1.06E-07,,,,,,,,
VIPR1,CD4.c01(Tn),0.19 ,1.45E-23,6.90E-23,143,5.59%,8,0.40 ,20,0.31 ,3.00E-10,,,,,TRUE,,,
GPA33,CD4.c01(Tn),0.18 ,4.77E-18,1.66E-17,144,4.03%,9,0.45 ,20,0.44 ,5.45E-04,,,,,TRUE,,,
ANK3,CD4.c01(Tn),0.18 ,2.30E-20,9.21E-20,145,12.74%,9,0.45 ,20,0.28 ,2.43E-03,,,,,,,,
FAM153A,CD4.c01(Tn),0.18 ,2.23E-11,5.43E-11,146,2.81%,2,0.10 ,20,0.41 ,1.25E-01,,,,,,,,
LPAR6,CD4.c01(Tn),0.18 ,4.43E-20,1.74E-19,147,19.04%,12,0.60 ,20,0.62 ,6.55E-04,,,,,TRUE,,,TRUE
EIF3E,CD4.c01(Tn),0.18 ,3.30E-10,7.57E-10,148,53.75%,10,0.50 ,20,0.76 ,1.23E-05,,,,,,,,
SPINT2,CD4.c01(Tn),0.18 ,9.06E-20,3.50E-19,149,15.76%,7,0.35 ,20,0.76 ,1.14E-05,,,,,TRUE,,,
GCSAM,CD4.c01(Tn),0.18 ,4.02E-25,2.09E-24,150,8.22%,11,0.55 ,20,0.62 ,1.12E-07,,,,,,,,
TAF4B,CD4.c01(Tn),0.18 ,2.35E-12,6.06E-12,151,7.37%,7,0.35 ,20,1.36 ,1.39E-16,TRUE,,,,,,,
LYPD3,CD4.c01(Tn),0.17 ,1.04E-09,2.32E-09,152,6.33%,8,0.40 ,20,1.26 ,1.58E-14,,,,,TRUE,,,
CMTM8,CD4.c01(Tn),0.17 ,8.23E-21,3.38E-20,153,15.16%,10,0.50 ,20,0.50 ,9.68E-10,,,,,TRUE,,,
TMEM45B,CD4.c01(Tn),0.17 ,2.05E-18,7.30E-18,154,3.12%,9,0.45 ,20,0.29 ,7.50E-23,,,,,TRUE,,,
KLF3,CD4.c01(Tn),0.17 ,9.40E-11,2.21E-10,155,25.68%,8,0.40 ,20,0.62 ,1.91E-38,TRUE,,,,,,,
EDAR,CD4.c01(Tn),0.17 ,7.31E-09,1.55E-08,156,1.77%,2,0.10 ,20,0.44 ,4.08E-02,,,,,TRUE,,,
RIC3,CD4.c01(Tn),0.17 ,9.15E-23,4.19E-22,157,15.70%,11,0.55 ,20,0.59 ,1.58E-03,,,,,TRUE,,,
PLEKHB1,CD4.c01(Tn),0.17 ,2.35E-13,6.39E-13,158,10.17%,5,0.25 ,20,0.34 ,1.63E-01,,,,,,,,
LMO7,CD4.c01(Tn),0.17 ,1.84E-18,6.55E-18,159,7.82%,7,0.35 ,20,0.54 ,1.71E-11,,,,,TRUE,,,
ZFAS1,CD4.c01(Tn),0.17 ,6.11E-15,1.81E-14,160,49.55%,8,0.40 ,20,0.65 ,2.73E-04,,,,,,,,
SCML4,CD4.c01(Tn),0.17 ,2.93E-10,6.75E-10,161,31.40%,7,0.35 ,20,0.41 ,2.78E-110,,,,,,,,
SORL1,CD4.c01(Tn),0.16 ,1.93E-19,7.29E-19,162,28.66%,6,0.30 ,20,0.29 ,4.38E-56,,,,TRUE,TRUE,,,
MGAT4A,CD4.c01(Tn),0.16 ,8.48E-19,3.09E-18,163,32.55%,7,0.35 ,20,0.35 ,7.20E-13,,,,TRUE,,TRUE,,
SESN3,CD4.c01(Tn),0.16 ,1.86E-07,3.62E-07,164,24.80%,7,0.35 ,20,0.91 ,5.16E-08,,,,,,,,
NUAK2,CD4.c01(Tn),0.16 ,1.30E-17,4.40E-17,165,5.88%,7,0.35 ,20,0.29 ,1.01E-01,,TRUE,,,TRUE,TRUE,,
TMIGD2,CD4.c01(Tn),0.16 ,2.90E-06,5.21E-06,166,9.05%,4,0.20 ,20,0.78 ,5.86E-06,,,,,TRUE,,,
RGMB,CD4.c01(Tn),0.16 ,2.20E-16,6.97E-16,167,3.46%,8,0.40 ,20,0.41 ,1.51E-03,,,,,TRUE,,,
TC2N,CD4.c01(Tn),0.16 ,7.32E-08,1.46E-07,168,36.87%,8,0.40 ,20,0.44 ,4.24E-20,,,,,,,,
RPS17,CD4.c01(Tn),0.15 ,2.72E-07,5.23E-07,169,46.59%,6,0.30 ,20,0.65 ,5.48E-61,,,,,,,,
PCSK5,CD4.c01(Tn),0.15 ,3.95E-13,1.06E-12,170,4.04%,5,0.25 ,20,0.46 ,2.80E-02,,,,TRUE,TRUE,TRUE,,
PASK,CD4.c02(CXCR5+ pre-Tfh),0.79 ,1.58E-29,2.66E-26,1,44.42%,9,1.00 ,9,1.13 ,1.70E-22,,TRUE,,,,TRUE,,
TCF7,CD4.c02(CXCR5+ pre-Tfh),0.78 ,7.47E-19,3.52E-16,2,52.84%,9,1.00 ,9,1.34 ,9.48E-25,TRUE,,,,,,,
CCR7,CD4.c02(CXCR5+ pre-Tfh),0.62 ,4.14E-13,7.74E-11,3,64.37%,7,0.78 ,9,1.12 ,4.47E-22,,,,,TRUE,,,
CXCR5,CD4.c02(CXCR5+ pre-Tfh),0.60 ,1.39E-05,4.25E-04,4,21.17%,5,0.56 ,9,1.18 ,2.84E-24,,,,,TRUE,,,
FAAH2,CD4.c02(CXCR5+ pre-Tfh),0.60 ,6.66E-25,6.54E-22,5,43.48%,8,0.89 ,9,0.78 ,5.52E-17,,,,,,TRUE,,
SESN3,CD4.c02(CXCR5+ pre-Tfh),0.58 ,2.35E-05,6.63E-04,6,48.11%,6,0.67 ,9,1.30 ,2.55E-26,,,,,,,,
NR3C1,CD4.c02(CXCR5+ pre-Tfh),0.56 ,7.11E-09,5.44E-07,7,62.48%,6,0.67 ,9,0.98 ,4.98E-15,TRUE,,,,,,TRUE,
